Employee_ID,Name,Phone_Number,Email,Address,Emergency_Contact,DOB,HireDate,DepartmentID,insurance,salary,Role
143,Kayla Lopez,962.869.0889x51053,krista36@example.com,191 Jones Gateway Port Evelyn NJ 23536,Steven Davies 8413963203,2004-12-08,2022-01-07,9,355,120029.94,HR
144,Barbara Fritz,218.514.9875x00413,akelley@example.net,55077 Jennifer Street Suite 585 Robertchester ND 87584,Edward Scott 6638901213,1999-05-23,10/24/2021,4,355,149794.53,HR
145,Christopher Scott,001-331-884-2891,ystewart@example.net,3128 David Club Apt. 563 Lake Kimberly AZ 85713,Krystal Raymond 9955710047,1968-09-03,10/31/2021,8,355,104541.82,Support
146,Adam Townsend,5445507043,rickyoliver@example.com,10154 Howard Falls Gavinberg WI 76691,Benjamin Hicks 001-279-730-9684,2005-03-27,2022-07-03,10,355,135320.54,Manager
147,Frank Roberts,001-917-290-9169x38352,cruzbarbara@example.org,762 Hayes Rest Suite 251 Lake Matthewside MA 45690,Micheal Brown +1-847-361-8059,1999-03-01,2024-10-04,5,355,144784.73,Analyst
148,Christine Brady,+1-533-336-8705x991,nmckinney@example.com,890 Fisher Ranch Josephville MA 54692,Ryan Thomas 001-738-477-0761x79797,2003-10-12,2024-02-02,7,355,134145.75,Support
149,Jason Hill,682-838-2086,wujoel@example.net,89874 Dennis Crest West Phillipview VI 40481,Heather Howard 001-314-239-6656x997,1976-05-20,10/21/2021,7,355,118532.04,Analyst
150,Mrs. Tara Wright MD,343-507-3285,nicholecarlson@example.net,9341 Moore Springs Rothburgh HI 02986,Jason Oconnor 296-945-7147x05754,1988-11-02,2024-08-08,4,355,79477.36,HR
151,Rebecca Hooper,963.476.7757,kirbybryan@example.org,Unit 0600 Box 2142 DPO AP 02632,Lorraine Gillespie 434.644.9260x5061,1965-05-26,1/18/2024,8,355,101531.46,Analyst
152,Stacey Mcclure,703-304-6886x08959,katherinescott@example.org,338 Gregory Union Royview KS 59556,Susan West (255)826-3725,1977-08-27,2024-09-07,10,355,127169.1,Analyst
153,Gregory Sanchez,+1-272-202-0246x6775,audreywilliams@example.net,1059 Martinez Parks North Aprilmouth MA 65872,Steve Wells (305)626-5093x2401,1969-09-08,4/20/2021,3,355,108406.43,Manager
154,Janice Lewis,7427627277,meagan63@example.com,384 Sarah Underpass Apt. 474 Masonburgh TX 29129,Jeffery Scott 001-821-923-9115,2002-08-23,7/19/2021,10,355,80416.97,Developer
155,Christopher Sanchez,947.356.3982x39509,woodjoe@example.com,5832 Michelle Via Suite 572 New Ricardo ND 51463,Jeffrey Riggs 7686364400,1992-03-18,2021-07-03,6,355,98849.13,Support
156,Cole Miller,307-566-5564x07612,grussell@example.org,8379 Jackson Crossing North Donaldview MI 51343,Alexa Moore 391.592.3728x63014,1977-08-31,8/14/2022,7,355,79626,Analyst
157,Katrina Gilbert,858-894-6527,anthonymiles@example.net,48096 Thomas Expressway Apt. 833 South Sheila WA 07757,Kevin Jenkins 759.840.3270,1986-07-05,2022-09-10,2,355,96607.84,HR
158,Kelly Riddle,591.731.8748,lisablake@example.org,1329 Hendrix Forks Cherylfurt OR 57417,Beth Flynn 6784872221,2005-03-13,1/24/2024,6,355,111005.74,HR
159,Dr. Randy Mosley,-2034,adkinsjennifer@example.org,14280 Kelsey Stream Suite 565 Port Nicholasshire MT 48491,Stacey Watkins (234)229-7881x382,1988-05-01,2024-02-02,5,355,96231.68,Manager
160,Suzanne Ingram,+1-799-572-7830x7548,smithalexandra@example.org,USCGC Norris FPO AP 19013,Michael Phillips 425-739-8303,1995-01-18,5/21/2022,1,355,41148.48,Developer
161,Gerald Gardner,(807)306-7448x92373,alyssa09@example.com,368 Dean Station Victoriaburgh TX 30878,Kenneth Lee 689.588.9540,1962-02-18,5/31/2023,1,355,78362.72,Developer
162,Tiffany Guzman,001-566-329-0258x84315,janet91@example.net,08505 Alison Fields Port Nicole KS 43169,Spencer Hill 959.469.5482x6027,1999-08-16,2/18/2024,10,355,125057.57,HR
163,Pamela Mercado,(860)961-4867x2123,jbarnes@example.net,9711 Sellers Place East Donnamouth OR 62775,Tara Mcneil 001-826-258-9121,1992-03-05,3/14/2020,7,355,111528.92,Manager
164,Mary Phillips,3123597565,jameslee@example.com,85138 Matthew Viaduct Mckenziechester AK 50152,Derrick Hernandez +1-411-473-9290x989,1998-05-10,6/23/2022,3,355,80162.01,Support
165,Kevin Wagner,001-313-555-9980x05616,jonessamuel@example.org,969 Cassandra Ports Keithhaven RI 07284,Brian Spencer 001-762-636-6375x229,1974-03-26,12/20/2021,7,355,59607.55,Analyst
166,Margaret Ford,657-912-1122,asanchez@example.net,379 Aaron Glen South Oliviafort SD 19509,Charles Alexander 244-872-3134x1673,1997-07-23,4/28/2024,6,355,113208.89,Manager
167,Sandra Chapman,8244100601,kristina76@example.com,536 Jeffery Lodge Nashtown IN 81133,Joseph Duncan 001-829-549-7180,1993-11-26,2/26/2020,9,355,115947.95,Manager
168,Jonathan Davenport,(433)271-3753x618,waremelissa@example.org,68116 Brett Key New Tracyburgh KS 04532,Melissa Cunningham 6514566777,1989-12-06,3/14/2024,8,355,73759.85,Support
169,Suzanne Bray,3165562929,qalvarado@example.com,597 Matthew Drives Jamesstad SC 99053,Julie West (280)559-6432x55815,2000-08-02,10/15/2021,4,355,126923.28,HR
170,Sean Jennings,292-943-6156x7505,cynthia30@example.net,8460 Amanda Forks Abigailmouth IL 47898,Chad Bryan 959.653.8025x806,2002-06-04,9/23/2022,5,355,149353.69,Support
171,Margaret Anderson,+1-961-551-8439x6699,bryan88@example.org,3998 Mitchell Vista Suite 679 East Xavierburgh MT 38301,Edward Johnson 846-765-9053,1978-10-16,5/17/2023,6,355,104573.47,Developer
172,Mr. Tracy Diaz,(566)556-1346x2725,jasminejackson@example.com,79677 Martinez Causeway East Michael OH 69389,Eric Davis 001-894-876-4603x7936,1995-02-07,2022-05-10,5,355,42960.31,HR
173,James White,641-383-9987x129,hayleyjones@example.org,6467 Harris Drives Apt. 716 Mccartyhaven GU 97792,Laura Anderson 001-785-370-8722x401,1992-05-21,8/22/2023,5,355,141072.73,Developer
174,Ralph Kim,298.353.9527x3090,lewisandrea@example.org,970 Finley Alley Suite 517 New Alex AR 95036,Lee Mcgee (925)711-8844x037,1958-11-08,2023-11-12,5,355,101618.26,Manager
175,Meredith Butler,-5913,michelle17@example.net,6781 Williams Extensions Suite 667 Mercadoside DE 06374,Ashlee Wallace (275)328-0942x93738,1989-04-05,9/30/2020,8,355,78718.15,Manager
176,Andrew Spencer,799.765.6129x85831,xhuffman@example.net,217 Ashley Cove East Nicholaschester SD 76324,Sara Bell 4498874399,1978-10-17,10/15/2020,10,355,148541.93,HR
177,Austin Sparks,898-728-6775x9326,rhodesbenjamin@example.net,01990 Jackson Lodge Suite 878 North Erin VI 51162,Jason Kirby (316)258-3758,1988-09-12,2/16/2021,9,355,58225.81,Analyst
178,Gregory Bryant,(408)569-7539x929,alexisparker@example.net,90987 Crystal Ville Kiarafurt MH 25901,Marc Wright 001-616-936-7367x3672,1962-09-05,8/26/2022,7,355,42036.45,Support
179,Justin Bryan,527.201.6581,farleymelissa@example.net,10250 Pacheco Circle Apt. 046 New Jillberg OH 40428,Chad Anderson 001-989-448-2063x8945,1980-05-31,4/17/2022,5,355,40312.79,HR
180,Anne Rose,(354)615-1220x095,john09@example.org,070 Kelley Rue East Kelli AZ 33186,Andrew Jenkins 658.532.6935,1968-06-06,10/16/2021,7,355,50539.8,Manager
181,Brenda Harrison,749.795.1012x39585,kcruz@example.com,565 Wyatt Square West Edward MA 34346,Sara Thomas 518.284.4620x342,2006-01-03,2023-05-02,7,355,91398.77,Analyst
182,Thomas Clark,243-325-8015x87377,wgraham@example.com,251 Morris Ports South Stacy AK 51062,Lori Butler 4249250790,1992-03-31,1/17/2024,10,355,130452.18,Support
183,Donald Johnston,318-770-4646x51212,crystalsanders@example.net,5900 Christina Ways Apt. 568 Port Daniel ME 36026,Victoria Campbell 253.244.6613x9927,1961-02-21,2024-05-02,10,355,138722.23,HR
184,Brian Alvarez,-2918,qnovak@example.com,5984 Danielle Station Apt. 076 Tarachester PA 76851,Stephanie Richardson 367-699-7736x436,1995-04-28,2020-03-08,2,355,124216.81,HR
185,Kathleen Jones,502.845.8973,aanderson@example.org,79331 James Plain Lake Destinyhaven NE 32433,William Carter 774-507-8039x0736,1968-11-30,11/18/2023,10,355,124550.02,Manager
186,Paul Patel,296.404.3936,ujohnson@example.org,639 Greene Street West Julie MA 42766,Mike Burnett 215-356-1921x502,2004-12-19,2020-07-11,10,355,64198.03,Developer
187,Lynn Lopez,001-266-228-2275x9323,stephanie45@example.net,5693 Stephens Divide Suite 347 West Brittanybury MH 92366,Julian Meyer +1-308-266-1173,1989-06-28,3/28/2021,1,355,107161.02,Developer
188,Pamela Kirby,001-268-518-8208x18797,qrivers@example.com,37067 Jennifer Land New Charlotte MT 32783,Curtis Schultz 001-494-703-3795x0226,1996-06-27,12/30/2022,1,355,119364.75,Support
189,William Hill,+1-470-298-0042x52201,laurentyler@example.com,92349 Roberts Plaza Suite 169 Lake Lindaborough UT 26362,Victoria Huang (688)458-0902x597,1984-09-07,4/29/2021,8,355,131532.72,Developer
190,Tiffany Lee,404-909-5123x25404,courtneykeith@example.com,62001 Joseph Court Lake Timothyhaven ID 34459,Kelly Hughes +1-489-747-8611x02776,1964-09-27,6/21/2024,8,355,126450.08,Support
191,Carrie Taylor,749.260.9531,fordantonio@example.com,1956 Griffin Parkway Alberttown MA 64075,Denise Hansen 4106027568,1992-11-16,2022-04-04,4,355,38119.22,Support
192,Hayden Morrow,(655)923-8607,cheyennerodriguez@example.com,29122 Daniel Lane New Traci WI 72868,Antonio Lucas (643)203-4727,1976-04-06,2020-01-12,3,355,118979.87,Manager
193,Hayden Adams,+1-916-218-9917x93921,rogerlee@example.net,97728 James Flats Loribury KY 31976,Emily Nguyen +1-692-212-1105x71584,1982-05-15,4/18/2023,9,355,130473.15,Manager
194,Tracy Davis,+1-640-901-0286x25812,melissalee@example.net,732 Molly Common West Zachary GU 43233,Alexander Flores 001-405-765-4950,1967-12-22,2/13/2024,5,355,138586.69,Analyst
195,Thomas Padilla,+1-439-231-0751x16870,lopezjessica@example.com,616 James Tunnel Simmonsberg NJ 23728,Mallory Wolfe (922)580-4886x603,1996-10-16,3/19/2023,1,355,107472.53,Manager
196,Michael Perry,001-968-824-1394x50846,alice17@example.net,94525 Seth Lane Thomastown IA 38353,Andrew Meyer 635.929.8812,2000-02-18,3/14/2022,1,355,137687.78,Developer
197,Christopher West,-8916,hkelley@example.org,9187 Vargas Drive Suite 271 Elizabethport MP 95437,Misty Smith 996-843-9633x99162,1987-06-07,2023-10-08,2,355,120964.08,Manager
198,Allison Powell,(944)732-9212x331,ejones@example.org,325 Tiffany Place Suite 467 North Zacharybury OH 53205,David Vega 001-871-702-5533x09993,1971-04-27,3/15/2024,10,355,149337.9,Support
199,Marcus Graham,548-499-3641x709,matthew90@example.com,PSC 5204 Box 6042 APO AE 39853,Carl Wilson (259)513-8115,1996-02-06,2024-09-01,6,355,96526.92,Analyst
200,John Lopez,(381)935-2485x965,clarkstephanie@example.com,57761 Tyrone Causeway Travisport NJ 25103,Sharon Jones 645-956-0232,1988-10-03,2/25/2020,8,355,98268.92,HR
